Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
tmux,teamux
tmux,teemux
Polaris,polaris
Redis,redis
Azure,azure
vault,volt
arrow,aero
mySQL,my sequel
add,ad
Lewis,louis
Warren,warren
Ben,ben
sys,cis
sys,sis
sudo,pseudo
pytest,pie test
pytest,pi test 
tmux,tee mux
tmux,tea mux
tux, teabox
django,jango
version,virgin


thetomcraig@icloud.com,snip email
tom.craig@ayahealthcare.com,work snip email	
